id,type,size,r,g,b,color_type
1,0,0.31921547651290894,0.9176470588235294,0.592156862745098,0,0
2,0,0.45775744318962097,0.5176470588235295,0.12549019607843137,0.2235294117647059,0
3,0,0.28620636463165283,0.43529411764705883,0.34509803921568627,0.08235294117647059,0
4,0,0.19841258227825165,0.30196078431372547,0.14901960784313725,0.11764705882352941,1
5,0,0.34877097606658936,0.9176470588235294,0.592156862745098,0,0
6,0,0.11823191493749619,0.5176470588235295,0.12549019607843137,0.2235294117647059,0
7,0,0.3879444897174835,0.5176470588235295,0.12549019607843137,0.2235294117647059,0
8,0,0.14654019474983215,0.4117647058823529,0.20392156862745098,0.4588235294117647,1
9,0,0.20750249922275543,0.6980392156862745,0.7019607843137254,0,0
10,0,0.1613217443227768,0.996078431372549,0.7137254901960784,0.0,1
11,0,0.2146829217672348,0.6980392156862745,0.7019607843137254,0,0
12,0,0.45591235160827637,0.30196078431372547,0.14901960784313725,0.11764705882352941,1
13,0,0.1539693921804428,0.8627450980392157,0.2549019607843137,0.00784313725490196,1
14,0,0.21330879628658295,0.4117647058823529,0.20392156862745098,0.4588235294117647,1
15,0,0.34875261783599854,0.9176470588235294,0.596078431372549,0.7176470588235294,1
16,0,0.42733001708984375,0.30196078431372547,0.14901960784313725,0.11764705882352941,1
17,0,0.4724353849887848,0.996078431372549,0.7137254901960784,0.0,1
18,0,0.3462997078895569,0.8627450980392157,0.2549019607843137,0.00784313725490196,1
19,0,0.26228243112564087,0.4117647058823529,0.20392156862745098,0.4588235294117647,1
20,0,0.22812090814113617,0.5176470588235295,0.12549019607843137,0.2235294117647059,0
21,0,0.2725205719470978,0.9725490196078431,0.9725490196078431,0.9725490196078431,1
22,0,0.21856853365898132,0.30196078431372547,0.14901960784313725,0.11764705882352941,1
23,0,0.43508249521255493,0.10980392156862745,0.6705882352941176,0.6823529411764706,0
24,0,0.16939952969551086,0.30196078431372547,0.14901960784313725,0.11764705882352941,1
25,0,0.3110423982143402,0.43529411764705883,0.34509803921568627,0.08235294117647059,0
26,0,0.3842950165271759,0.5019607843137255,0.5019607843137255,0.5019607843137255,1
