id,type,bounding box,r,g,b
1,0,"[0.386211097240448, 0.386211097240448, 0.386211097240448]",0.7098039215686275,0.1450980392156863,0.14901960784313725
2,0,"[0.24869170784950256, 0.24869170784950256, 0.24869170784950256]",0.7098039215686275,0.1450980392156863,0.14901960784313725
3,0,"[0.48519986867904663, 0.48519986867904663, 0.48519986867904663]",0.5529411764705883,0.043137254901960784,0.09411764705882353
4,0,"[0.1496540904045105, 0.1496540904045105, 0.1496540904045105]",0.5529411764705883,0.043137254901960784,0.09411764705882353
5,0,"[0.0945284366607666, 0.0945284366607666, 0.0945284366607666]",0.5529411764705883,0.043137254901960784,0.09411764705882353
6,0,"[0.44426366686820984, 0.44426366686820984, 0.44426366686820984]",0.0,0.5803921568627451,0.23529411764705882
7,0,"[0.10367007553577423, 0.10367007553577423, 0.10367007553577423]",0.0,0.5803921568627451,0.23529411764705882
8,0,"[0.17554281651973724, 0.17554281651973724, 0.17554281651973724]",0.0,0.5803921568627451,0.23529411764705882
9,0,"[0.050997406244277954, 0.050997406244277954, 0.050997406244277954]",0.0,0.4549019607843137,0.2549019607843137
10,0,"[0.4233394265174866, 0.4233394265174866, 0.4233394265174866]",0.0,0.4549019607843137,0.2549019607843137
11,0,"[0.2083064615726471, 0.2083064615726471, 0.2083064615726471]",0.996078431372549,0.7137254901960784,0.0
12,0,"[0.05860799551010132, 0.05860799551010132, 0.05860799551010132]",0.996078431372549,0.7137254901960784,0.0
13,0,"[0.2537921071052551, 0.2537921071052551, 0.2537921071052551]",0.996078431372549,0.7137254901960784,0.0
14,0,"[0.07751435786485672, 0.07751435786485672, 0.07751435786485672]",0.996078431372549,0.7137254901960784,0.0
15,0,"[0.35286495089530945, 0.35286495089530945, 0.35286495089530945]",0.996078431372549,0.7137254901960784,0.0
16,0,"[0.11378275603055954, 0.11378275603055954, 0.11378275603055954]",0.10196078431372549,0.5607843137254902,0.6823529411764706
17,0,"[0.28177812695503235, 0.28177812695503235, 0.28177812695503235]",0.03137254901960784,0.5686274509803921,0.7333333333333333
18,0,"[0.08360343426465988, 0.08360343426465988, 0.08360343426465988]",0.047058823529411764,0.5607843137254902,1.1098039215686275
19,0,"[0.14515280723571777, 0.14515280723571777, 0.14515280723571777]",0.00784313725490196,0.4470588235294118,0.5764705882352941
20,0,"[0.10241446644067764, 0.10241446644067764, 0.10241446644067764]",0.01568627450980392,0.44313725490196076,0.6431372549019608
21,0,"[0.26116183400154114, 0.26116183400154114, 0.26116183400154114]",0.30196078431372547,0.14901960784313725,0.11764705882352941
22,0,"[0.20610320568084717, 0.20610320568084717, 0.20610320568084717]",0.30196078431372547,0.14901960784313725,0.11764705882352941
23,0,"[0.32724013924598694, 0.32724013924598694, 0.32724013924598694]",0.2823529411764706,0.14901960784313725,0.09411764705882353
24,0,"[0.47590896487236023, 0.47590896487236023, 0.47590896487236023]",0.2823529411764706,0.14901960784313725,0.09411764705882353
25,0,"[0.05286386236548424, 0.05286386236548424, 0.05286386236548424]",0.27058823529411763,0.1568627450980392,0.08627450980392157
26,0,"[0.11622055619955063, 0.11622055619955063, 0.11622055619955063]",0.4117647058823529,0.20392156862745098,0.4588235294117647
27,0,"[0.17375198006629944, 0.17375198006629944, 0.17375198006629944]",0.4117647058823529,0.20392156862745098,0.4588235294117647
28,0,"[0.40757375955581665, 0.40757375955581665, 0.40757375955581665]",0.4117647058823529,0.20392156862745098,0.4588235294117647
29,0,"[0.3700670897960663, 0.3700670897960663, 0.3700670897960663]",0.25882352941176473,0.14901960784313725,0.29411764705882354
30,0,"[0.28769367933273315, 0.28769367933273315, 0.28769367933273315]",0.25882352941176473,0.14901960784313725,0.29411764705882354
31,0,"[0.2313729226589203, 0.2313729226589203, 0.2313729226589203]",0.9176470588235294,0.596078431372549,0.7176470588235294
32,0,"[0.4566556215286255, 0.4566556215286255, 0.4566556215286255]",0.9176470588235294,0.596078431372549,0.7176470588235294
33,0,"[0.37773507833480835, 0.37773507833480835, 0.37773507833480835]",0.9176470588235294,0.596078431372549,0.7176470588235294
34,0,"[0.4179133474826813, 0.4179133474826813, 0.4179133474826813]",0.8196078431372549,0.48627450980392156,0.6196078431372549
35,0,"[0.33530962467193604, 0.33530962467193604, 0.33530962467193604]",0.8196078431372549,0.48627450980392156,0.6196078431372549
36,0,"[0.3962540328502655, 0.3962540328502655, 0.3962540328502655]",0.8627450980392157,0.2549019607843137,0.00784313725490196
37,0,"[0.45402833819389343, 0.45402833819389343, 0.45402833819389343]",0.8627450980392157,0.2549019607843137,0.00784313725490196
38,0,"[0.2822529971599579, 0.2822529971599579, 0.2822529971599579]",0.8627450980392157,0.2549019607843137,0.00784313725490196
39,0,"[0.24556951224803925, 0.24556951224803925, 0.24556951224803925]",0.8627450980392157,0.2549019607843137,0.00784313725490196
40,0,"[0.20062021911144257, 0.20062021911144257, 0.20062021911144257]",0.8627450980392157,0.2549019607843137,0.00784313725490196
41,0,"[0.2781825363636017, 0.2781825363636017, 0.2781825363636017]",0.9803921568627451,0.9803921568627451,0.9803921568627451
42,0,"[0.27248939871788025, 0.27248939871788025, 0.27248939871788025]",0.9803921568627451,0.9803921568627451,0.9803921568627451
43,0,"[0.11122258007526398, 0.11122258007526398, 0.11122258007526398]",1.0,1.0,1.0
44,0,"[0.061502840369939804, 0.061502840369939804, 0.061502840369939804]",1.0,1.0,1.0
45,0,"[0.0970039889216423, 0.0970039889216423, 0.0970039889216423]",0.9725490196078431,0.9725490196078431,0.9725490196078431
